final_study_id,year,domain,matched_source_record_id,matched_source_database,matched_source_file,matched_title,matched_authors,matched_doi,final_inclusion_status,coding_available,notes
P089 - PerryZarsky2014,2015,General,,,,,,,included_final_primary_study,yes,Final corpus study; coding fields available in data/coded_csv and per-study notes.
P090 - Fishkin2014,2014,General,,,,,,,included_final_primary_study,yes,Final corpus study; coding fields available in data/coded_csv and per-study notes.
P091 - MetcalfMoss2019,2019,General,,,,,,,included_final_primary_study,yes,Final corpus study; coding fields available in data/coded_csv and per-study notes.
P092 - PrinceSchwarcz2020,2020,General,,,,,,,included_final_primary_study,yes,Final corpus study; coding fields available in data/coded_csv and per-study notes.
P093 - Hellman2020,2020,General,,,,,,,included_final_primary_study,yes,Final corpus study; coding fields available in data/coded_csv and per-study notes.
P094 - Bietti2020FAccT,2020,General,,,,,,,included_final_primary_study,yes,Final corpus study; coding fields available in data/coded_csv and per-study notes.
P095 - Biswas2023ICSE,2023,General,SRCREC-0040,ACM Digital Library,ACM Digital Library/2. acm.bib,ICSE '23: Proceedings of the 45th International Conference on Software Engineering: Companion Proceedings,,,included_final_primary_study,yes,Final corpus study; coding fields available in data/coded_csv and per-study notes.
P096 - Chakraborty2020Fairway,2020,General,,,,,,,included_final_primary_study,yes,Final corpus study; coding fields available in data/coded_csv and per-study notes.
P097 - Kawamoto2020,2020,General,,,,,,,included_final_primary_study,yes,Final corpus study; coding fields available in data/coded_csv and per-study notes.
P098 - Li2024RUNNER,2024,General,SRCREC-0732,SpringerLink,SpringerLink/2. SearchResults.csv,Specification overfitting in artificial intelligence,Benjamin RothPedro Henrique Luz de AraujoYuxi XiaSaskia KaltenbrunnerChristoph Korab,10.1007/s10462-024-11040-6,included_final_primary_study,yes,Final corpus study; coding fields available in data/coded_csv and per-study notes.
P099 - Monjezi2023,2023,General,,,,,,,included_final_primary_study,yes,Final corpus study; coding fields available in data/coded_csv and per-study notes.
P100 - Zheng2022NeuronFair,2022,General,SRCREC-0404,IEEE Xplore,IEEE Xplore/9. IEEE Xplore Citation BibTeX.bib,A hierarchical structure of cyber-physical production systems based on heterogeneous multi-agent systems,"Fan, Jianjie and Yue, Liang and Zheng, Song",10.1109/CAC57257.2022.10055603,included_final_primary_study,yes,Final corpus study; coding fields available in data/coded_csv and per-study notes.
P101 - Raji2022,2022,General,,,,,,,included_final_primary_study,yes,Final corpus study; coding fields available in data/coded_csv and per-study notes.
P102 - Sharma2020,2020,General,,,,,,,included_final_primary_study,yes,Final corpus study; coding fields available in data/coded_csv and per-study notes.
P103 - Pager2008,2008,General,,,,,,,included_final_primary_study,yes,Final corpus study; coding fields available in data/coded_csv and per-study notes.
P104 - Chen2025TNNLS,2025,General,SRCREC-0116,ACM Digital Library,ACM Digital Library/6. acm.bib,Diversity Drives Fairness: Ensemble of Higher Order Mutants for Intersectional Fairness of Machine Learning Software,"Chen, Zhenpeng and Li, Xinyue and Zhang, Jie M. and Sarro, Federica and Liu, Yang",10.1109/ICSE55347.2025.00122,included_final_primary_study,yes,Final corpus study; coding fields available in data/coded_csv and per-study notes.
P105 - Buolamwini2018,2018,General,,,,,,,included_final_primary_study,yes,Final corpus study; coding fields available in data/coded_csv and per-study notes.
P106 - Borkan2019WWW,2019,General,,,,,,,included_final_primary_study,yes,Final corpus study; coding fields available in data/coded_csv and per-study notes.
P107 - Calmon2017NeurIPS,2017,Policing,,,,,,,included_final_primary_study,yes,Final corpus study; coding fields available in data/coded_csv and per-study notes.
