Study ID,Study,Citation,Year,QA pass,QA score,in_final_107_corpus,audit_note
P030,P030 - Milli2019,Milli2019,2019,Pass,8.5,Yes,Included in final 107-study analytical corpus.
P029,P029 - Hu2019,Hu2019,2019,Pass,8.5,Yes,Included in final 107-study analytical corpus.
P022,P022 - GrgicHlaca2018Procedural,GrgicHlaca2018Procedural,2018,Pass,9.5,Yes,Included in final 107-study analytical corpus.
P024,P024 - Liu2018Delayed,Liu2018Delayed,2018,Pass,8.5,No,Present in broader coding-pass export but not present in final 107-study analytical corpus file; retained for transparency/auditability.
P027,P027 - Binns2018,Binns2018,2018,Pass,7.5,Yes,Included in final 107-study analytical corpus.
P023,P023 - Udeshi2018,Udeshi2018,2018,Pass,8.5,Yes,Included in final 107-study analytical corpus.
P034,P034 - Passi2019,Passi2019,2019,Pass,9.5,Yes,Included in final 107-study analytical corpus.
P031,P031 - Ustun2019,Ustun2019,2019,Pass,8.5,Yes,Included in final 107-study analytical corpus.
P032,P032 - Cotter2019,Cotter2019,2019,Pass,8.5,Yes,Included in final 107-study analytical corpus.
P038,P038 - Wick2019,Wick2019,2019,Pass,8.5,Yes,Included in final 107-study analytical corpus.
P033,P033 - Golz2019,Golz2019,2019,Pass,8.5,Yes,Included in final 107-study analytical corpus.
P035,P035 - Selbst2019,Selbst2019,2019,Pass,8.5,Yes,Included in final 107-study analytical corpus.
P037,P037 - Zhang2019TKDE,Zhang2019TKDE,2019,Pass,8.5,Yes,Included in final 107-study analytical corpus.
P039,P039 - Polyzotis2019,Polyzotis2019,2019,Pass,8,Yes,Included in final 107-study analytical corpus.
P036,P036 - Creager2019,Creager2019,2019,Pass,8.5,Yes,Included in final 107-study analytical corpus.
P041,P041 - Foulds2020,Foulds2020,2020,Pass,9,Yes,Included in final 107-study analytical corpus.
P049,P049 - Agarwal2021,Agarwal2021,2021,Pass,8.5,Yes,Included in final 107-study analytical corpus.
P047,P047 - Schumann2021,Schumann2021,2021,Pass,10,Yes,Included in final 107-study analytical corpus.
P043,P043 - DAmour2020,DAmour2020,2020,Pass,9,Yes,Included in final 107-study analytical corpus.
P046,P046 - Vasudevan2020,Vasudevan2020,2020,Pass,10,Yes,Included in final 107-study analytical corpus.
P044,P044 - Creager2020,Creager2020,2020,Pass,9.5,Yes,Included in final 107-study analytical corpus.
P042,P042 - Fu2020,Fu2020,2020,Pass,8.5,Yes,Included in final 107-study analytical corpus.
P045,P045 - Mitchell2021,Mitchell2021,2021,Pass,10,Yes,Included in final 107-study analytical corpus.
P048,P048 - Krishnaswamy2021,Krishnaswamy2021,2021,Pass,8.5,Yes,Included in final 107-study analytical corpus.
P040,P040 - Atwood2019,Atwood2019,2019,Pass,8.5,Yes,Included in final 107-study analytical corpus.
P057,P057 - Black2022,Black2022,2022,Pass,8.5,Yes,Included in final 107-study analytical corpus.
P058,P058 - Mambreyan2022,Mambreyan2022,2022,Pass,8.5,Yes,Included in final 107-study analytical corpus.
P056,P056 - Pradhan2022,Pradhan2022,2022,Pass,8.5,Yes,Included in final 107-study analytical corpus.
P052,P052 - Karkkainen2021,Karkkainen2021,2021,Pass,9,Yes,Included in final 107-study analytical corpus.
P054,P054 - Do2022,Do2022,2022,Pass,8.5,Yes,Included in final 107-study analytical corpus.
P059,P059 - Kesgin2025,Kesgin2025,2025,Pass,9,Yes,Included in final 107-study analytical corpus.
P051,P051 - Chen2021,Chen2021,2021,Pass,8.5,Yes,Included in final 107-study analytical corpus.
P050,P050 - Yeom2021,Yeom2021,2021,Pass,8.5,Yes,Included in final 107-study analytical corpus.
P055,P055 - Baker2022,Baker2022,2022,Pass,8.5,Yes,Included in final 107-study analytical corpus.
P053,P053 - Zhao2023,Zhao2023,2023,Pass,8.5,Yes,Included in final 107-study analytical corpus.
P066,P066 - Zhang2023,Zhang2023,2023,Pass,4.5,Yes,Included in final 107-study analytical corpus.
P068,P068 - Jung2024CounterfactuallyFairImages,Jung2024CounterfactuallyFairImages,2024,Pass,10,Yes,Included in final 107-study analytical corpus.
P065,P065 - Liu2023,Liu2023,2023,Pass,6.5,Yes,Included in final 107-study analytical corpus.
P060,P060 - Wang2022REVISE,Wang2022REVISE,2022,Pass,9,Yes,Included in final 107-study analytical corpus.
